ein,name,mission,city,state
15,JAMAICA HOSPITAL MEDICAL CENTER,THE JAMAICA HOSPITAL IS AN ACUTE CARE FACILITY SERVING THE PUBLIC. THE HOSPITAL PROVIDES CARE TO PATIENTS WHO MEET CERTAIN CRITERIA UNDER ITS CHARITY CARE POLICY WITHOUT CHARGE OR AT REDUCED RATES.,JAMAICA,NY
16,NEWYORK-PRESBYTERIANBROOKLYN METHODIST,TO PROVIDE EXCELLENT HEALTH CARE SERVICES IN A COMPASSIONATE AND HUMANE MANNER TO THE PEOPLE WHO LIVE AND WORK IN BROOKLYN AND ITS SURROUNDING AREAS,BROOKLYN,NY
17,St Vincent's Services Inc,"TO PROVIDE FOSTER HOME SERVICES, EDUCATIONAL SERVICES, MEDICAL AND MENTAL HEALTH CARE, GROUP HOMES, AND INTERMEDIATE CARE SERVICES.",Brooklyn,NY
18,FAMILY SERVICE LEAGUE INC,"THE MISSION OF FAMILY SERVICE LEAGUE, INC. IS TO HELP INDIVIDUALS, CHILDREN AND FAMILIES MOBILIZE THEIR STRENGTHS AND IMPROVE THE QUALITY OF THEIR LIVES AT HOME, IN THE WORKPLACE, AND IN THE COMMUNITY.",HUNTINGTON,NY
19,Wyckoff Heights Medical Center,"THE MISSION OF WYCKOFF HEIGHTS MEDICAL CENTER IS TO PROVIDE EXCELLENCE IN CARE THROUGH PREVENTION, EDUCATION, AND TREATMENT IN A SAFE ENVIRONMENT.",Brooklyn,NY
20,GLEN COVE HOSPITAL,Glen Cove strives to improve the health of the communities it serves and is committed to providing the highest quality of care for the community regardless of ability to pay.,WESTBURY,NY
21,LONG ISLAND UNIVERSITY,PROVIDE EXCELLENCE AND ACCESS IN EDUCATION TO THOSE WHO SEEK TO EXPAND THEIR KNOWLEDGE. SEE SCH O.,BROOKVILLE,NY
22,PACKER COLLEGIATE INSTITUTE,"NOW IN ITS 174TH YEAR IN HISTORIC BROOKLYN HEIGHTS, PACKER IS EXCEPTIONALLY PROUD OF THE OUTSTANDING EDUCATION WE OFFER TO CHILDREN FROM THREE YEARS OF AGE THROUGH SENIOR HIGH SCHOOL IN A BEAUTIFUL PHYSICAL PLANT WITH UP-TO-DATE FACILITIES. IN ADDITION, PACKER HAS BECOME THE SCHOOL OF CHOICE FOR SO MANY FAMILIES IN BROOKLYN AND MANHATTAN PRIMARILY BECAUSE OF ITS EXTRAORDINARY FACULTY OF TALENTED MEN AND WOMEN WHO BRING A WEALTH OF EXPERTISE INTO THE CLASSROOM, ALONG WITH A REAL LOVE OF YOUNG PEOPLE. IT IS A TRULY CARING COMMUNITY WHERE ADULTS MODEL FOR STUDENTS THE ATTRIBUTES WE PRIZE - KINDNESS, HONOR, INTELLIGENCE, INCLUSIVENESS, AND DIVERSITY.",BROOKLYN,NY
23,Heartshare Human Services of New York,"TO NURTURE AND SUPPORT, WITH DIGNITY AND RESPECT, CHILDREN, ADULTS AND FAMILIES IN ORDER TO EXPAND OPPORTUNITIES AND ENHANCE LIVES.",Brooklyn,NY
24,LITTLE FLOWER CHILDREN FAMILY SERVICES,"LITTLE FLOWER IS COMMITTED TO IMPROVING THE WELL-BEING OF THE CHILDREN, FAMILIES, AND INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES ACROSS NYC AND LONG ISLAND SO THEY CAN REACH THEIR FULL POTENTIAL. LITTLE FLOWER TRANSFORMS CARING INTO ACTION TO IMPROVE THE LIVES OF THOSE WE SERVE.",WADING RIVER,NY
25,Maimonides Medical Center,SEE SCHEDULE O,Brooklyn,NY
26,MERCY MEDICAL CENTER,"WE, AT CH, HUMBLY JOIN TOGETHER TO BRING CHRIST'S HEALING MISSION AND THE MISSION OF MERCY OF THE CATHOLIC CHURCH EXPRESSED IN CATHOLIC HEALTH CARE TO OUR COMMUNITIES.",ROCKVILLE CENTRE,NY
27,MERCYFIRST,SEE SCHEDULE O,SYOSSET,NY
28,ST FRANCIS COLLEGE,"ST. FRANCIS COLLEGE IS AN INDEPENDENT, COEDUCATIONAL INSTITUTION (SEE SCHEDULE O)",BROOKLYN,NY
29,LOCAL 804 WELFARE TRUST FUND,TO PROVIDE HEALTH CARE BENEFITS,LONG ISLAND CITY,NY
30,John T Mather Memorial Hospital,"John T. Mather Memorial Hospital is an accredited, non-profit community hospital dedicated to providing a wide spectrum of health care services of the highest quality.",PORT JEFFERSON,NY
31,FAIRWINDS CREDIT UNION,"THE OBJECT AND PURPOSE OF FAIRWINDS CREDIT UNION IS TO BE A COOPERATIVE, NONPROFIT, ASSOCIATION ORGANIZED UNDER THE LAWS OF THE STATE OF FLORIDA, FOR THE PURPOSE OF ENCOURAGING THRIFT AMONG ITS MEMBERS, CREATING SOURCES OF CREDIT AT FAIR AND REASONABLE RATES OF INTEREST, AND PROVIDING AN OPPORTUNITY FOR ITS MEMBERS TO USE AND CONTROL THEIR RESOURCES ON A DEMOCRATIC BASIS IN ORDER TO IMPROVE THEIR ECONOMIC AND SOCIAL CONDITION.",ORLANDO,FL
32,Central Suffolk Hospital,"CENTRAL SUFFOLK HOSPITAL (""CSH"") IS A NOT-FOR-PROFIT HOSPITAL, A SKILLED NURSING FACILITY, AND A CERTIFIED HOME CARE AGENCY.",RIVERHEAD,NY
33,Episcopal Health Services Inc,"TO PROVIDE EXCEPTIONAL HEALTHCARE AND EDUCATIONAL PROGRAMS IN AN ACADEMIC SETTING ACROSS THE CONTINUUM OF CARE AND DELIVER HIGH QUALITY, VALUE BASED SERVICES (SEE SCHEDULE O)",Garden City,NY
34,SOUTH SHORE UNIVERSITY HOSPITAL,South Shore strives to improve the health of the communities it serves and is committed to providing the highest quality clinical care and caring for the entire community.,WESTBURY,NY
35,THE BROOKLYN INSTITUTE OF ARTS,WE CREATE ENCOUNTERS WITH ART THAT EXPAND OUR VIEWS OF THE WORLD & ITS POSSIBILITIES.,BROOKLYN,NY
36,MENORAH HOME AND HOSPITAL FOR THE AGED,A 420 BED SKILLED NURSING AND REHABILITATION FACILITY.,NEW YORK,NY
37,ST MARYS HOSPITAL FOR CHILDREN INC,"ST. MARYS HEALTHCARE SYSTEM FOR CHILDREN IS COMMITTED TO IMPROVING THE HEALTH AND QUALITY OF LIFE FOR CHILDREN, YOUNG ADULTS, AND FAMILIES WITH MEDICAL COMPLEXITY AND SPECIAL HEALTHCARE NEEDS.",BAYSIDE,NY
38,LONG ISLAND COMMUNITY HOSPITAL AT,"LONG ISLAND COMMUNITY HOSPITAL AT NYU LANGONE HEALTH (D/B/A LONG ISLAND COMMUNITY HOSPITAL) (""LICH""), WAS ESTABLISHED TO DELIVER ACCESSIBLE HIGH-QUALITY HEALTH SERVICES IN A FOCUSED CARING AND TEACHING ENVIRONMENT WHILE PROVIDING HEALTH ADVOCACY FOR THE COMMUNITY AND PEOPLE WE SERVE. EFFECTIVE MARCH 1, 2022, PURSUANT TO THE TERMS OF AN AFFILIATION AGREEMENT (THE ""AFFILIATION AGREEMENT""), NYU LANGONE HEALTH SYSTEM (""NYULHS"") FORMALLY ACQUIRED AND BECAME THE SOLE CORPORATE MEMBER OF LICH.",PATCHOGUE,NY
39,ELECTRICAL INDUSTRY BOARD OF NASSAU AND,"TO ADMINISTER THE COLLECTIVE BARGAINING AGREEMENT (""CBA"") BETWEEN THE LONG ISLAND CHAPTER OF THE NATIONAL ELECTRICAL CONTRACTORS ASSOC. (""LI NECA"") AND LOCAL UNION 25, IBEW (""LOCAL 25"") AND TO ADMINISTER THE MULTI-EMPLOYER BENEFIT FUNDS PROVIDED FOR THEREIN (THE ""FUNDS"").",HAUPPAUGE,NY
40,NYSARC INC -,"AHRC-Nassau empowers people to live fulfilling lives together with family, friends and community.",Brookville,NY
41,ST JOSEPH'S UNIVERSITY NEW YORK,THE UNIVERSITY PROVIDES A VALUE-ORIENTED UNGRADUATE & GRADUATE LIBERAL ARTS EDUCATION.,BROOKLYN,NY
42,THE CHILD CENTER OF NY INC,"THE CHILD CENTER OF NY STRENGTHENS FAMILY AND BUILDS COMMUNITY. WE DO THIS BY DELIVERING ON OUR MISSION: TO STRENGTHEN CHILDREN AND FAMILIES WITH SKILLS, OPPORTUNITIES, AND EMOTIONAL SUPPORT TO BUILD HEALTHY, SUCCESSFUL LIVES. WE SERVE FAMILIES AND INDIVIDUALS OF ALL AGES - FROM BIRTH TO ADULTHOOD - WITH EVIDENCE-BASED, INTEGRATED PROGRAMS AND INNOVATIVE INITIATIVES. WE ARE COMMUNITY BUILDERS AND INNOVATORS, WORKING IN PARTNERSHIP WITH CLIENTS TO CREATE SOLUTIONS AIMED AT BREAKING THE CYCLE OF GENERATIONAL POVERTY. OUR DIVISIONS ARE BEHAVIORAL HEALTH (MENTAL HEALTH AND SUBSTANCE ABUSE), YOUTH DEVELOPMENT, PREVENTION AND FAMILY SUPPORT SERVICES, RESIDENTIAL SERVICES, EARLY CHILDHOOD EDUCATION, AND HEALTH HOMES AND INTEGRATED CARE. WE SERVE THE COMPLETE PERSON, ENTIRE FAMILY, AND WHOLE COMMUNITY.",FOREST HILLS,NY
43,NEW YORK INSTITUTE OF TECHNOLOGY,WE ARE COMMITTED TO EDUCATING THE NEXT GENERATION OF LEADERS AND INSPIRING INNOVATION. (SEE SCH O),OLD WESTBURY,NY
44,MOLLOY UNIVERSITY,MOLLOY IS AN INDEPENDENT CATHOLIC UNIVERSITY ROOTED IN THE DOMINICAN TRADITION OF STUDY.,ROCKVILLE CENTRE,NY
45,UNITED WELFARE FUND,"TO PROVIDE HEALTH, SECURITY, DEATH AND OTHER SUPPLEMENTAL WELFARE BENEFITS TO ELIGIBLE PARTICIPANTS AND THEIR BENEFICIARIES.",NEW ROCHELLE,NY
46,NEWYORK-PRESBYTERIANQUEENS,"TO BE THE PREMIER HEALTHCARE INSTITUTION SERVING OUR GREATER COMMUNITY BY PROVIDING EXCELLENCE IN CLINICAL CARE AND PATIENT SAFETY, EDUCATION, CLINICAL RESEARCH, AND SERVICE.",FLUSHING,NY
47,NYSARC INC - SUFFOLK CHAPTER,TO IMPROVE THE QUALITY OF LIFE FOR PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES.,BOHEMIA,NY
48,ST CHARLES HOSPITAL CORP,"WE, AT CH, HUMBLY JOIN TOGETHER TO BRING CHRIST'S HEALING MISSION AND THE MISSION OF MERCY OF THE CATHOLIC CHURCH EXPRESSED IN CATHOLIC HEALTH CARE TO OUR COMMUNITIES.",PORT JEFFERSON,NY
49,CENTER FOR DEVELOPMENTAL DISABILITIES,"TO HELP CHILDREN & ADULTS WITH DIFFERING ABILITIES ACHIEVE THEIR DREAMS BY OVERCOMING BARRIERS TO LIVING, WORKING AND LEARNING IN THE COMMUNITY OF THEIR CHOICE.",woodbury,NY
50,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"WE, AT CH, HUMBLY JOIN TOGETHER TO BRING CHRISTS HEALING MISSION AND THE MISSION OF MERCY OF THE CATHOLIC CHURCH EXPRESSED IN CATHOLIC HEALTH CARE TO OUR COMMUNITIES.",WEST ISLIP,NY
51,BROOKLYN PUBLIC LIBRARY,"IT IS THE MISSION OF THE LIBRARY TO ENSURE THE PRESERVATION AND TRANSMISSION OF (SEE SCHEDULE O) SOCIETY'S KNOWLEDGE, HISTORY AND CULTURE, AND TO PROVIDE THE PEOPLE OF BROOKLYN WITH FREE AND OPEN ACCESS TO INFORMATION FOR EDUCATION, RECREATION AND REFERENCE.",BROOKLYN,NY
52,THE QUEENS BOROUGH PUBLIC LIBRARY,Queens Library transforms lives by cultivating personal and intellectual growth and by building strong communities.,JAMAICA,NY
53,AMERICAN MARITIME OFFICERS VACATION PLAN,TO PROVIDE VACATION BENEFITS TO ELIGIBLE EMPLOYEES OF THE AMERICAN MARITIME OFFICERS BY CONTRIBUTING EMPLOYERS UNDER A COLLECTIVE BARGAINING AGREEMENT.,DANIA BEACH,FL
54,DELTA DENTAL OF NEW YORK INC,"TO ADVANCE DENTAL HEALTH AND ACCESS THROUGH EXCEPTIONAL DENTAL BENEFITS, SERVICE, TECHNOLOGY, AND PROFESSIONAL SUPPORT.",MECHANICSBURG,PA
55,The New York Community Hospital of Brooklyn,Maimonides Midwood Community hospital is committed to providing quality care with compassion and dignity to all patients and to the community.,Brooklyn,NY
56,COLD SPRING HARBOR LABORATORY,THE ORGANIZATION CONDUCTS RESEARCH IN THE BIOLOGICAL SCIENCES WITH A PARTICULAR EMPHASIS ON BASIC RESEARCH IN MOLECULAR BIOLOGY AND GENETICS.,COLD SPRING HARBOR,NY
57,YOUNG ADULT INSTITUTE INC,"YAI'S MISSION IS TO EMPOWER PEOPLE WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITIES (I/DD) TO LIVE THE LIVES THEY TRULY DESIRE. WE PROVIDE A WIDE RANGE OF SUPPORTS AND SERVICES THAT ARE PERSON CENTERED AND PERSON DIRECTED. BY SEEING BEYOND DISABILITIES, WE PROMOTE OPPORTUNITIES FOR PEOPLE WITH I/DD TO LIVE, LOVE, WORK, AND LEARN IN THEIR COMMUNITIES. OUR SUPPORTS AND SERVICES COVER THE LIFESPAN AND INCLUDE RESIDENTIAL OPPORTUNITIES, DAY SERVICES, EMPLOYMENT SERVICES, COMMUNITY HABILITATION, FAMILY SUPPORT PROGRAMS, THERAPIES, RESPITE, AND RECREATION.",NEW YORK,NY
58,CATHOLIC CHARITIES NEIGHBORHOOD,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES PROVIDES QUALITY SOCIAL SERVICES TO THE NEIGHBORHOODS OF BROOKLYN AND QUEENS.,BROOKLYN,NY
59,ST FRANCIS HOSPITAL,"WE, AT CH, HUMBLY JOIN TOGETHER TO BRING CHRIST'S HEALING MISSION AND THE MISSION OF MERCY OF THE CATHOLIC CHURCH EXPRESSED IN CATHOLIC HEALTH CARE TO OUR COMMUNITIES.",ROSLYN,NY
60,NURSING SISTERS HOME CARE INC,"WE, AT CH, HUMBLY JOIN TOGETHER TO BRING CHRIST'S HEALING MISSION AND THE MISSION OF MERCY OF THE CATHOLIC CHURCH EXPRESSED IN CATHOLIC HEALTH CARE TO OUR COMMUNITIES.",FARMINGDALE,NY
61,BROOKLYN NAVY YARD DEVELOPMENT CORP,"TO MANAGE THE BROOKLYN NAVY YARD FOR THE CITY OF NEW YORK, SPECIFICALLY TO EXPAND JOB OPPORTUNITES FOR NEW YORKERS BY FOSTERING THE DEVELOPMENT OF SMALL BUSINESSES.",BROOKLYN,NY
62,RUTLAND NURSING HOME INC,"ONE BROOKLYN HEALTH SYSTEM, INC. PROVIDES GREATER ACCESS TO HIGH QUALITY MEDICAL CARE AND KEEPS OUR COMMUNITIES HEALTHY THROUGH AN INTEGRATED CARE SYSTEM THAT RESPECTS THE DIVERSITY OF OUR COMMUNITIES AND ADDRESSES BOTH THE HEALTH NEEDS AND UNIQUE FACTORS THAT SHAPE THEM.",BROOKLYN,NY
63,OZANAM HALL OF QUEENS NURSING HOME INC,"OZANAM HALL OF QUEENS NURSING HOME, INC. MISSION IS TO PROVIDE HOLISTIC CARE TO THE AGED AND INFIRM IN AN ATMOSPHERE OF CHRISTIAN UNDERSTANDING AND FAITH. WE HOLD IN REVERENTIAL ESTEEM THE SANCTITY OF LIFE ALTHOUGH MENTAL AND/OR PHYSICAL LIMITATIONS MAY EXIST, THE LIFE OF EVERY HUMAN BEING IS CONSIDERED SACRED. EACH ONE HAS, THEREFORE A MORAL RESPONSIBILITY TO RESPECT AND PROTECT THAT BASIC RIGHT TO LIFE.",BAYSIDE,NY
64,LONG ISLAND JEWISH MEDICAL CENTER,LIJMC strives to improve the health of the communities it serves and is committed to providing the highest quality of care for the community regardless of ability to pay.,WESTBURY,NY
65,NEW YORK PSYCHOTHERAPY AND COUNSELING,"SEE SCHEDULE O.TO OPERATE COMMUNITY MENTAL HEALTH CENTERS PROVIDING EXCEPTIONAL SERVICES TO CHILDREN, ADOLESCENTS AND ADULTS IN UNDERSERVED CULTURALLY DIVERSE COMMUNITIES OF NEW YORK CITY.",JAMAICA,NY
66,ODA PRIMARY HEALTH CARE NETWORK INC,TO PROVIDE QUALITY PRIMARY AND SPECIALTY CARE TO A LARGE MEDICALLY UNDERSERVED POPULATION IN THE WILLIAMSBURG SECTION OF BROOKLYN.,BROOKLYN,NY
67,COBBLE HILL HEALTH CENTER INC,"COBBLE HILL HEALTH CENTER, INC. (CENTER) OPERATES A 364 BED NURSING FACILITY. THE CENTER PROVIDES NURSING CARE TO PATIENTS.",BROOKLYN,NY
68,HEALTH SCIENCE CENTER AT BROOKLYN,"TO ESTABLISH, OPERATE, MANAGE, PROMOTE, AND CULTIVATE EDUCATIONAL RELATED ACTIVITIES FOR THE STUDENTS AND FACULTY OF THE SUNY DOWNSTATE HEALTH SCIENCES UNIVERSITY AND TO AID THE STUDENTS, FACULTY, AND ADMINSTRATION. IN ADDITION, TO UPGRADE AND EXPAND THE FACILITIES TO ADVANCE THE INSTITUTION'S MISSION.",BROOKLYN,NY
69,FAMILY RESIDENCES AND ESSENTIAL,TO HELP ALL ABLED INDIVIDUALS REALIZE THEIR FULL POTENTIAL & PREVAIL OVER LIFE'S CHALLENGES.,OLD BETHPAGE,NY
70,RISEBORO COMMUNITY PARTNERSHIP INC,"RCP'S MISSION IS TO SERVICE THE NEEDS OF THE ELDERLY RESIDENTS IN THE COMMUNITY, AND CONTAINS A COMMITMENT TO ELIMINATE OR REDUCE POVERTY IN BROOKLYN & QUEENS BY ENGAGING IN PLANNING, CREATING, COORDINATING, INITIATING, EVALUATING AND SUPERVISING COMMUNITY ACTION PROGRAMS.",BROOKLYN,NY
71,Independent Group Home Living Program Inc,"PROVIDE PROGRAMS, SERVICES & SUPPORT FOR PEOPLE WITH INTELLECTUAL DISABILITIES SO THEY CAN REALIZE THEIR FULL POTENTIAL AS HUMAN BEINGS AND CONTRIBUTING MEMBERS OF THEIR COMMUNITY.",manorville,NY
72,CAMBA INC,SEE SCHEDULE O,BROOKLYN,NY
73,Dentcare Delivery Systems Inc,TO PROVIDE MANAGED CARE DENTAL PLANS TO SMALL AND LARGE BUSINESSES.,Uniondale,NY
74,QSAC INC,"QSAC IS A NEW YORK CITY AND LONG ISLAND BASED NONPROFIT THAT SUPPORTS CHILDREN AND ADULTS WITH AUTISM, TOGETHER WITH THEIR FAMILIES, IN ACHIEVING GREATER INDEPENDENCE, REALIZING THEIR FUTURE POTENTIAL, AND CONTRIBUTING TO THEIR COMMUNITIES IN A MEANINGFUL WAY BY OFFERING PERSON-CENTERED SERVICES.",NEW YORK,NY
75,UNITED PALESTINIAN APPEAL INC,"TO ALLEVIATE THE SUFFERING OF PALESTINIANS; ESPECIALLY THOSE LIVING IN THE WEST BANK, GAZA STRIP AND IN REFUGEE CAMPS.",WASHINGTON,DC
76,BIRCH FAMILY SERVICES INC,TO EMPOWER PEOPLE WITH AUTISM & DEVELOPMENTAL DISABILITIES TO LEAD FULFILLING LIVES.,NEW YORK,NY
77,WELLLIFE NETWORK INC,"TO EMPOWER INDIVIDUALS AND FAMILIES WITH DIVERSE NEEDS TO REALIZE THEIR FULL POTENTIAL FOR ACHIEVING MEANINGFUL GOALS, GUIDED BY PRINCIPLES OF INDEPENDENCE, (CONTINUED ON SCHEDULE O)",NEW HYDE PARK,NY
78,STONY BROOK SURGICAL ASSOCIATES,"Provide clinical instruction to and supervision of medical school students, interns and residents and, incident thereto, rendering professional services.",Stony Brook,NY
79,STONY BROOK INTERNISTS,"Provide clinical instruction to and supervision of medical school students, interns and residents and, incident thereto, rendering professional services.",Stony Brook,NY
80,URBAN RESOURCE INSTITUTE,"URI'S MISSION IS TO EMPOWER INDIVIDUALS, FAMILIES, AND COMMUNITIES, CONTINUED ON SCHEDULE O PARTICULARLY COMMUNITIES OF COLOR AND OTHER DISENFRANCHISED POPULATIONS, TO END CYCLES OF VIOLENCE, HOMELESSNESS, POVERTY, AND TRAUMA BY INCREASING SAFETY AND RESILIENCY.",NEW YORK,NY
81,UNITED CEREBRAL PALSY ASSOCIATION,"TO ADVANCE THE INDEPENDENCE, PRODUCTIVITY & FULL CITIZENSHIP OF PEOPLE WITH CEREBRAL PALSY.",HAUPPAUGE,NY
82,UNIVERSITY ASSOCIATES IN OBSTETRICS &,"Provide clinical instruction to and supervision of medical school students, interns and residents and, incident thereto, rendering professional services.",Stony Brook,NY
83,STONY BROOK CHILDREN'S SERVICE,"Provide clinical instruction to and supervision of medical students, interns and residents and, incident thereto, rendering professional services.",Stony Brook,NY
84,NEW HORIZON COUNSELING CENTER INC,"TO STRENGTHEN COMMUNITIES BY PROVIDING THE BEST QUALITY BEHAVIORAL HEALTH CARE AND CARE MANAGEMENT WHICH PROMOTES THE EMOTIONAL WELL-BEING, INDEPENDENCE, AND EMPOWERMENT OF INDIVIDUALS.",OZONE PARK,NY
85,SAINT ANN'S SCHOOL,SEE SCHEDULE O,BROOKLYN,NY
86,BLACK VETERANS FOR SOCIAL JUSTICE INC,"TO COMBAT THE DETERIATION OF THE BEDFORD STUYVESANT COMMUNITY OF BROOKLYN, NY, AND TO ASSIST MILITARY VETERANS BY IMPROVING AND HELPING THEM ADJUST TO CIVILIAN LIFE BY ADVISING AND PROMOTING HOUSING, EDUCATION, EMPLOYMENT OPPORTUNITIES AND SOCIAL PROGRESS TO HELP THEM GROUNDED IN THE COMMUNITY.",Brooklyn,NY
87,THE BERKELEY CARROLL SCHOOL,"TO PROVIDE PRIMARY AND SECONDARY EDUCATION THROUGH A DEMANDING CURRICULUM AND VIBRANT CIVIC LIFE TO STUDENTS FROM PRESCHOOL THROUGH GRADE 12, WHERE DEVOTED TEACHERS CHALLENGE AND ENGAGE TALENTED STUDENTS.",BROOKLYN,NY
88,Elderplan Inc,A MEDICARE MANAGED CARE AND MEDICAID MANAGED LONG TERM CARE PROGRAM.,New York,NY
89,HASC CENTER INC,"THE HASC CENTER MISSION IS TO ADVOCATE FOR, EDUCATE AND ASSIST INDIVIDUALS WITH DEVELOPMENTAL AND INTELLECTUAL CHALLENGES TO MAKE LIFE CHOICES, EXERCISE INDEPENDENCE AND DEVELOP RESPONSIBILITY. IN THIS ENDEAVOR, HASC CENTER ENCOURAGES ALL INDIVIDUALS TO MAXIMIZE THEIR POTENTIAL AND LEAD MEANINGFUL AND PRODUCTIVE LIVES. THIS IS ACCOMPLISHED BY PROVIDING AN ARRAY OF INDIVIDUAL AND FAMILY SUPPORTS THROUGH A DEDICATED TEAM OF PROFESSIONALS AND SUPPORT STAFF.",BROOKLYN,NY
90,SAMARITAN DAYTOP VILLAGE INC,"SAMARITAN DAYTOP VILLAGE PROVIDES COMPREHENSIVE HEALTH AND HUMAN SERVICES TO(CONT ON SCH O) MORE THAN 33,000 PEOPLE LOCATED THROUGHOUT NEW YORK CITY AND IN UPSTATE NEW YORK.",BRIARWOOD,NY
91,ISLAND PEER REVIEW ORGANIZATION INC,"IPRO IS A NOT-FOR-PROFIT ORGANIZATION THAT ENGAGES IN HEALTH CARE REVIEW, ASSESSMENT, AND QUALITY IMPROVEMENT ACTIVITIES UNDER CONTRACT TO FEDERAL, STATE, AND PRIVATE PAYERS.",NEW HYDE PARK,NY
92,Jewish Community Council of Greater Coney,TO PROVIDE A COMPREHENSIVE RANGE OF HUMAN AND SOCIAL SERVICES TO INDIVIDUALS AND NONPROFIT ORGANIZATIONS ACROSS NYC.,Brooklyn,NY
93,THE FEINSTEIN INSTITUTES FOR,THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH STRIVES TO IMPROVE THE HEALTH OF THE COMMUNITIES IT SERVES AND IS COMMITTED TO FINDING NEW ADVANCES IN MEDICINE THROUGH RESEARCH,WESTBURY,NY
94,INDEPENDENT LIVING ASSOCIATION,"THE ORGANIZATION'S MISSION IS TO PROVIDE PROGRAMS, SERVICES, REHABILITATION AND SOCIAL ACTIVITIES, IN CONSULTATION WITH THE NYS OFFICE FOR PEOPLE WITH DEV. DISABILITIES.",BROOKLYN,NY
95,SCO FAMILY OF SERVICES,PROVIDES ESSENTIAL HUMAN SERVICES TO PERSONS IN LOCATIONS THROUGHOUT THE NYC METRO AREA. WE HELP VULNERABLE NEW YORKERS MEET LIFE'S CHALLENGES & HELP THEM BUILD A SOLID FOUNDATION.,GARDEN CITY,NY
